objectid,bevoegd_gezag_nummer,brin_nummer,vestigingsnummer,vestigingsnaam,denominatie,straatnaam,huisnummer_toevoeging,pc6,plaatsnaam,gem_code,gemeentenaam,provincie,ggd,internetadres,xcoord,ycoord,geocod,opmerking_geocode,leerlingen,lftd_3_jaar,lftd_4_jaar,lftd_5_jaar,lftd_6_jaar,lftd_7_jaar,lftd_8_jaar,lftd_9_jaar,lftd_10_jaar,lftd_11_jaar,lftd_12_jaar,lftd_13_jaar,lftd_14_jaar
22,10249,17FD,17FD00,Openbare Basisschool Mr Halma,Openbaar,Oosterwijk WZ,56,7885TN,NIEUW-DORDRECHT,114,EMMEN,Drenthe,GGD Drenthe,www.obs-mr-halma.nl,260420,529203,pc6hnrgeentoev,,26,0,0,3,2,5,3,2,7,2,2,0,0
23,10249,17FU,17FU00,Openbare Basisschool 't Koppel,Openbaar,Gedempte Achterdiep,9,7831CJ,NIEUW-WEERDINGE,114,EMMEN,Drenthe,GGD Drenthe,www.obs-koppel.nl,262608,542097,pc6hnrgeentoev,,153,0,20,17,17,20,20,21,16,21,1,0,0
24,10249,17JD,17JD00,Openbare Basisschool De Dreske,Openbaar,Roswinkelerstraat,131,7895AR,ROSWINKEL,114,EMMEN,Drenthe,GGD Drenthe,www.obs-dreske.nl,266321,540197,pc6hnrgeentoev,,34,0,3,4,4,6,3,4,1,8,1,0,0
25,10249,17KM,17KM00,Openbare Basisschool 't Swarte Meer,Openbaar,De Blokken,22,7894CL,ZWARTEMEER,114,EMMEN,Drenthe,GGD Drenthe,www.obs-swartemeer.nl,266629,527241,pc6hnrgeentoev,,75,0,5,11,8,4,12,10,12,7,6,0,0
26,10249,18HB,18HB00,Openbare Basiischool De Iemenhof,Openbaar,Spanjaardspad,86,7761BR,SCHOONEBEEK,114,EMMEN,Drenthe,GGD Drenthe,www.obs-iemenhof.nl,256272,520356,pc6hnrgeentoev,,156,0,24,20,15,18,22,14,24,17,2,0,0
27,10249,21PS,21PS00,Openbare Basisschool De Vlonder,Openbaar,Giervalk,20,7827HX,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.obs-vlonder.nl,256369,530222,pc6hnrgeentoev,,289,0,31,21,36,31,45,38,42,41,4,0,0
28,10249,23RM,23RM00,Openbare Basisschool De Lisdodde,Openbaar,Ganzenveld,85,7827SE,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.obs-lisdodde.nl,255987,529982,pc6hnrgeentoev,,570,0,57,43,71,78,70,84,84,67,16,0,0
29,10249,24ED,24ED00,Openbare Basisschool Montessori,Openbaar,A.L. Lesturgeonstraat,3,7815VD,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.montessori-emmen.nl,256647,535190,pc6hnrgeentoev,,195,0,27,18,17,18,32,24,25,25,7,2,0
30,10249,30AG,30AG00,Delftlanden,Openbaar,Zandzoom,19,7814VH,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.obs-delftlanden.nl,254579,530634,pc6hnrgeentoev,,72,0,12,4,6,9,12,9,10,9,1,0,0
31,11711,06AQ,06AQ00,Openbare Basisschool De Lindehof,Openbaar,Lindelaan,34,9342PL,EEN,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.odbsdelindehof.nl,222472,566254,pc6hnrgeentoev,,63,0,3,7,10,10,7,5,12,9,0,0,0
32,11711,09FV,09FV00,Openbare Basisschool De Hekakker,Openbaar,Schoolstraat,3,9331AV,NORG,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.obsdehekakker.nl,227070,564758,pc6hnrgeentoev,,241,0,27,21,15,31,27,30,42,36,11,1,0
33,11711,09HF,09HF00,Basisschool 't Spectrum,Openbaar,Hereweg,1-D,9321CL,PEIZE,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.spectrumpeize.nl,229484,573970,pc6hnrtoev,,221,0,36,31,22,26,30,25,21,30,0,0,0
34,11711,10BT,10BT00,Openbare Basisschool De Vlinderhof,Openbaar,Ir. Mentropweg,72,9341AT,VEENHUIZEN,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.devlinderhof.nl,222704,561140,pc6hnrgeentoev,,83,0,7,11,6,10,7,14,11,13,4,0,0
35,11711,10TP,10TP00,Openbare Basisschool de Elsakker,Openbaar,Schoolstraat,5,9337PB,WESTERVELDE,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.obs-elsakker.nl,225654,563493,pc6hnrgeentoev,,63,0,6,8,4,7,6,11,9,8,4,0,0
36,11711,10UM,10UM00,Basisschool Altena,Openbaar,Lieverseweg,1,9321XM,PEIZE,1699,NOORDENVELD,Drenthe,GGD Drenthe,                                                                                ,227760,572178,pc6hnrgeentoev,,46,0,5,2,4,4,5,8,9,6,3,0,0
37,11711,11IQ,11IQ00,De Eskampen,Openbaar,Boerakkerweg,2-A,9321EL,PEIZE,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.eskampen.nl,229482,574031,pc6hnrtoev,,272,0,23,34,28,34,34,36,48,29,5,1,0
38,11711,12UM,12UM00,Openbare Basisschool de Marke,Openbaar,Molenweg,1,9301JD,RODEN,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.demarke-roden.nl,224645,572539,pc6hnrgeentoev,,254,0,33,28,35,35,36,26,32,24,5,0,0
39,11711,13GD,13GD00,Openbare Basisschool de Tandem,Openbaar,Klimop,2,9301PK,RODEN,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.obsdetandemroden.nl,224197,573611,pc6hnrgeentoev,,123,0,15,12,14,19,13,18,6,24,2,0,0
40,11711,13LI,13LI00,Het Valkhof Openbare Basisschool voor Daltononderwijs,Openbaar,Schonauwen,2,9301SP,RODEN,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.hetvalkhof.nl,223479,572796,pc6hnrgeentoev,,323,0,33,36,32,49,45,43,40,41,4,0,0
41,11711,13QB,13QB00,OBS De Poolster,Openbaar,Zevenhuisterweg,3,9311VA,NIEUW-RODEN,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.obsdepoolster.com,222351,571801,pc6hnrgeentoev,,321,0,25,33,38,39,31,55,42,50,8,0,0
