objectid,bevoegd_gezag_nummer,brinnummer,vestigingsnummer,vestigingsnaam,denominatie,soort_primair_onderwijs,cluster,straatnaam,huisnummer_toevoeging,pc6,plaatsnaam,gem_code,gemeentenaam,provincie,ggd,internetadres,xcoord,ycoord,geocod,opmerking_geocode,leerlingen,lftd_1tm6,lftd_7tm9,lftd_10tm12,lftd_13tm15,lftd_16tm20,lftd_21tm27
213,40876,04EY,04EY00,SO/VSO Respont (Asteria College),Algemeen bijzonder,(V)SO,4,Korczakstraat,1,4335ER,MIDDELBURG,687,MIDDELBURG,Zeeland,GGD Zeeland,www.asteriacollege.nl,30706,390716,pc6hnrgeentoev,,472,8,81.5,137.25,164.25,81,0
214,40876,04EY,04EY05,SO/VSO Respont (De Vliethoeve),Algemeen bijzonder,(V)SO,4,Galgendijk,2 /4,4484NH,KORTGENE,1695,NOORD BEVELAND,Zeeland,GGD Zeeland,www.korczakschool-vliethoeve.nl,44145,398154,pc6,,16,0,0,0,5.5,10.5,0
215,41312,00OJ,00OJ00,Klimopschool,Algemeen bijzonder,(V)SO,3,Grevelingenstraat,10,4335XG,MIDDELBURG,687,MIDDELBURG,Zeeland,GGD Zeeland,www.klimopschool.nl,30737,390007,pc6hnrgeentoev,,131,3.25,14.25,29.25,35,49.25,0
216,41312,02CK,02CK00,Mytylschool De Sprienke,Algemeen bijzonder,(V)SO,3,Vivaldipad,1,4462JA,GOES,664,GOES,Zeeland,GGD Zeeland,www.desprienke.nl,51659,390071,pc6hnrgeentoev,,189,13.25,26.25,38.75,55,55,0.75
217,41312,05HS,05HS00,De Regenboog,Rooms-Katholiek,(V)SO,3,Madame Curiestraat,25,4532LJ,TERNEUZEN,715,TERNEUZEN,Zeeland,GGD Zeeland,www.regenboog-so.nl,47878,372192,pc6hnrgeentoev,,111,7.25,19,18.75,32.5,33.5,0
218,41312,14PR,14PR00,Deltaschool,Algemeen bijzonder,(V)SO,3,Naereboutstraat,24,4461GT,GOES,664,GOES,Zeeland,GGD Zeeland,                                                                                ,50718,391239,pc6hnrgeentoev,,55,4.5,12.5,9.5,14.75,13.75,0
219,41314,01HD,01HD00,De Kring,Algemeen bijzonder,(V)SO,2,Tiendendreef,5 -7,4461DS,GOES,664,GOES,Zeeland,GGD Zeeland,www.dekringgoes.nl,50618,391875,pc6hnr,,263,32.25,65.25,84.25,52,29.25,0
220,84151,26NE,26NE00,School voor Speciaal Basisonderwijs Ebenhaezer,Reformatorisch,(V)SO,3 en 4,Coxstraat,9,4421DC,KAPELLE,678,KAPELLE,Zeeland,GGD Zeeland,                                                                                ,55786,389777,pc6hnrgeentoev,,84,2.25,27.25,16.5,16.75,21.25,0
221,20281,02DE,02DE00,Bernardusschool,Rooms-Katholiek,(V)SO,3,Ruychrocklaan,340,2597EE,'S-GRAVENHAGE,518,S GRAVENHAGE,Zuid-Holland,GGD Den Haag,www.nldata.nl/bernardusschool,82404,457805,pc6hnrgeentoev,,109,5.75,15.5,20.25,28.75,38.75,0
222,21712,14MY,14MY00,De Duinpieper,Protestants-Christelijk,(V)SO,3,Stakman Bossestraat,79,2203GH,NOORDWIJK ZH,575,NOORDWIJK,Zuid-Holland,GGD Hollands-Midden,www.duinpieper.nl,91167,473172,pc6hnrgeentoev,,209,18,29.25,35.25,59.75,66.75,0
223,30185,26MN,26MN00,School voor Speciaal Basisonderwijs De Rank,Reformatorisch,(V)SO,3 en 4,Dorpsstraat-Oost,3-a,2991CR,BARENDRECHT,489,BARENDRECHT,Zuid-Holland,GGD Rotterdam-Rijnmond,www.derankzml.nl,97006,429455,pc6hnr,,122,8,26.5,34.75,25.75,27,0
224,30852,26NU,26NU00,Samuelschool,Reformatorisch,(V)SO,3 en 4,1e E J Potgieterstraat,21,2802LD,GOUDA,513,GOUDA,Zuid-Holland,GGD Hollands-Midden,www.samuelschoolgouda.nl,107698,446584,pc6hnrgeentoev,,53,1.75,16.25,16.5,11.25,7.25,0
225,30968,00NT,00NT00,Prof Dr Leo Kannerschool,Algemeen bijzonder,(V)SO,4,Endegeesterstraatweg,26,2342AK,OEGSTGEEST,579,OEGSTGEEST,Zuid-Holland,GGD Hollands-Midden,www.leokannerschool.nl,91417,465447,pc6hnrgeentoev,,207,15,67,86,22.5,16.5,0
226,30968,00NT,00NT01,Prof Dr Leo Kannerschool,Algemeen bijzonder,(V)SO,4,Willem-Alexanderplnts,2,2713VM,ZOETERMEER,637,ZOETERMEER,Zuid-Holland,GGD Zuid-Holland-West,                                                                                ,93229,452209,pc6hnrgeentoev,,92,16.25,34.25,38.5,3,0,0
227,30968,00NT,00NT02,Prof. Dr. Leo Kannerschool,Algemeen bijzonder,(V)SO,4,Touwbaan,42,2352CZ,LEIDERDORP,547,LEIDERDORP,Zuid-Holland,GGD Hollands-Midden,                                                                                ,95631,464659,pc6hnr,,74,0,0,7,40.25,26.75,0
228,30968,00NT,00NT03,Prof Dr Leo Kannerschool,Algemeen bijzonder,(V)SO,4,Cesar Franckstraat,5,2324JM,LEIDEN,546,LEIDEN,Zuid-Holland,GGD Hollands-Midden,                                                                                ,92096,462252,pc6hnrgeentoev,,234,0,0,40.25,114.25,78.75,0.75
229,30968,00NT,00NT05,Prof Dr Leo Kannerschool,Algemeen bijzonder,(V)SO,4,Hazenboslaan,101,2343SZ,OEGSTGEEST,579,OEGSTGEEST,Zuid-Holland,GGD Hollands-Midden,                                                                                ,92846,467159,pc6hnrgeentoev,,231,0,0,25,141.75,64.25,0
230,38209,00PZ,00PZ00,Herman Broerenschool voor Speciaal Onderwijs en Voortgezet Speciaal Onderwijs,Algemeen bijzonder,(V)SO,3,Clara van Sparwoudestr,1,2612SP,DELFT,503,DELFT,Zuid-Holland,GGD Zuid-Holland-West,www.hermanbroerenschool.nu,85093,447839,pc6hnrgeentoev,,169,10,22,40.5,43.75,52.75,0
231,38209,00PZ,00PZ01,Herman Broerenschool,Algemeen bijzonder,(V)SO,3,Verhagenplein,9,2671HS,NAALDWIJK,1783,WESTLAND,Zuid-Holland,GGD Zuid-Holland-West,                                                                                ,74016,445464,pc6hnrgeentoev,,126,12,11,26.5,37.5,39,0
232,40530,04EF,04EF00,Prisma Christelijke school (v)so-zmlk,Protestants-Christelijk,(V)SO,3,Boterbloemweg,21-B,2403TR,ALPHEN AAN DEN RIJN,484,ALPHEN AAN DEN RIJN,Zuid-Holland,GGD Hollands-Midden,www.prisma.scopescholen.nl,107097,462116,pc6hnrtoev,,158,9,30,43,33,43,0
233,41127,26LY,26LY00,De Ark,Protestants-Christelijk,(V)SO,3,Graaf van Egmondstraat,79,3261AK,OUD-BEIJERLAND,584,OUD-BEIJERLAND,Zuid-Holland,GGD Zuid-Holland-Zuid,www.csgdewaard.nl,88204,426569,pc6hnrgeentoev,,51,3,10,12.25,13.25,12.5,0
234,41127,26LY,26LY01,De Ark,Protestants-Christelijk,(V)SO,3,Prinses Marijkestraat,1-B,3241VJ,MIDDELHARNIS,1924,GOEREE-OVERFLAKKEE,Zuid-Holland,GGD Rotterdam-Rijnmond,                                                                                ,70915,419488,pc6hnr,,49,2.75,14.25,11,18.25,2.75,0
235,41396,26MR,26MR00,De Cirkel Christelijk Onderwijs ZML,Protestants-Christelijk,(V)SO,3,Kennelweg,8,4205ZR,GORINCHEM,512,GORINCHEM,Zuid-Holland,GGD Zuid-Holland-Zuid,www.decirkelzml.nl,126695,428493,pc6hnrgeentoev,,109,5.25,14.75,28.25,34,26.75,0
236,41417,00RK,00RK00,De Stroom,Algemeen bijzonder,(V)SO,3,Reeweg Zuid,22,3317NH,DORDRECHT,505,DORDRECHT,Zuid-Holland,GGD Zuid-Holland-Zuid,www.destroomvso.nl,104412,422019,pc6hnrgeentoev,,144,14.5,35,33.5,38.75,22.25,0
237,41417,14OH,14OH00,School Bleyburgh,Algemeen bijzonder,(V)SO,3,Maaslaan,6,3363CJ,SLIEDRECHT,610,SLIEDRECHT,Zuid-Holland,GGD Zuid-Holland-Zuid,www.bleyburgh.spon.nu,112126,426677,pc6hnrgeentoev,,129,9.5,19.5,28.75,34,37.25,0
238,41417,14OH,14OH01,School Bleyburgh v.h. SSBO De Kleine Wereld,Algemeen bijzonder,(V)SO,3,Dokter Hiemstralaan,24,4205KM,GORINCHEM,512,GORINCHEM,Zuid-Holland,GGD Zuid-Holland-Zuid,                                                                                ,125676,428360,pc6hnrgeentoev,,39,3.75,5.25,8.5,11,10.5,0
239,41527,19XZ,19XZ00,De Ark,Openbaar,(V)SO,3,Jan Luykenstraat,1,2806PD,GOUDA,513,GOUDA,Zuid-Holland,GGD Hollands-Midden,www.zmlk-ark.nl,108811,447637,pc6hnrgeentoev,,168,7.75,24,38.5,46.5,51.25,0
240,41535,19QU,19QU00,Ericaschool,Openbaar,(V)SO,3,Delftseveerweg,28,3134JJ,VLAARDINGEN,622,VLAARDINGEN,Zuid-Holland,GGD Rotterdam-Rijnmond,www.ericazml.net,83193,436800,pc6hnrgeentoev,,212,17,40.25,46,51.5,57.25,0
241,41570,18KC,18KC00,Openbare Basisschool voor ZMLK Maarlandschool,Openbaar,(V)SO,3,Burg H van Sleenstraat,6,3231XB,BRIELLE,501,BRIELLE,Zuid-Holland,GGD Rotterdam-Rijnmond,www.maarlandschool.nl,70493,435703,pc6hnrgeentoev,,122,3,16,28.25,35,39.75,0
242,41572,20JG,20JG00,Insp S De Vriesschool,Openbaar,(V)SO,3,Heliotrooplaan,35,2555MA,'S-GRAVENHAGE,518,S GRAVENHAGE,Zuid-Holland,GGD Den Haag,www.inspecteurdevriesschool.nl,75439,453786,pc6hnrgeentoev,,211,7.5,22.25,50.5,60.5,70.25,0
243,41572,20JL,20JL00,Cor Emoussch,Openbaar,(V)SO,2,Twickelstraat,5,2531PW,'S-GRAVENHAGE,518,S GRAVENHAGE,Zuid-Holland,GGD Den Haag,www.cor-emous.nl,80816,451875,pc6hnrgeentoev,,197,42.25,56.75,71.25,26.75,0,0
244,41572,20JM,20JM00,De Piramide,Openbaar,(V)SO,3,Melis Stokelaan,1185,2541GA,'S-GRAVENHAGE,518,S GRAVENHAGE,Zuid-Holland,GGD Den Haag,www.sovsodepiramide.nl,78284,450951,pc6hnrgeentoev,,162,22.5,32.75,30.5,39.25,37,0
245,41775,20RI,20RI00,Dr A V Voorthuysenschool,Openbaar,(V)SO,3,Rollostraat,85-B,3084PM,ROTTERDAM,599,ROTTERDAM,Zuid-Holland,GGD Rotterdam-Rijnmond,www.zmlkvoorthuysen.nl,91108,432695,pc6hnr,,273,18.5,34.75,62.5,79.5,77.75,0
246,41775,20RJ,20RJ00,A Willeboerschool,Openbaar,(V)SO,3,Meindert Hobbemalaan,2,3062SK,ROTTERDAM,599,ROTTERDAM,Zuid-Holland,GGD Rotterdam-Rijnmond,www.willeboerschool.nl,95991,437251,pc6hnrgeentoev,,186,7.75,18.25,34,72.25,53.75,0
247,41775,20RT,20RT00,Reconvalescentenschool,Openbaar,(V)SO,3,Dordtsestraatweg,472,3075BN,ROTTERDAM,599,ROTTERDAM,Zuid-Holland,GGD Rotterdam-Rijnmond,www.reconvalescentenschool.nl,94006,433334,pc6hnrgeentoev,,152,13,19.75,22.25,50.25,46,0.75
248,41775,20RX,20RX00,Mytylschool De Brug,Openbaar,(V)SO,3,Ringdijk,84,3054KV,ROTTERDAM,599,ROTTERDAM,Zuid-Holland,GGD Rotterdam-Rijnmond,www.mytylschooldebrug.nl,92466,440738,pc6hnrgeentoev,,302,55.25,64.5,58.75,51.75,70.75,1
249,41775,20VT,20VT00,Pedologisch Instituut De Piloot,Openbaar,(V)SO,4,Brongras,7,3068PA,ROTTERDAM,599,ROTTERDAM,Zuid-Holland,GGD Rotterdam-Rijnmond,www.depiloot.nl,97275,441207,pc6,,358,140,122.75,94.5,0.75,0,0
250,41775,20VT,20VT01,Pedologisch Instituut De Piloot,Openbaar,(V)SO,4,Brongras,7,3068PA,ROTTERDAM,599,ROTTERDAM,Zuid-Holland,GGD Rotterdam-Rijnmond,                                                                                ,97275,441207,pc6,,204,0,0,31,124.25,48.75,0
251,41775,20VT,20VT02,Instituut De Piloot,Openbaar,(V)SO,4,van Heuven Goedhartsngl,10,2806ZL,GOUDA,513,GOUDA,Zuid-Holland,GGD Hollands-Midden,                                                                                ,109614,447577,pc6hnrgeentoev,,29,29,0,0,0,0,0
252,41805,00OQ,00OQ00,Korte Vlietsch voor ZMLK,Algemeen bijzonder,(V)SO,3,Schubertlaan,131,2324CR,LEIDEN,546,LEIDEN,Zuid-Holland,GGD Hollands-Midden,www.kortevlietschool.nl,92058,461845,pc6hnrgeentoev,,151,10.5,29,27,39.25,45.25,0
253,41805,02FN,02FN00,De Weerklank,Protestants-Christelijk,(V)SO,2,Robijnstraat,100,2332KV,LEIDEN,546,LEIDEN,Zuid-Holland,GGD Hollands-Midden,www.deweerklank.nl,91762,463438,pc6hnrgeentoev,,224,38.75,54.75,59.25,57.5,13.75,0
254,41805,02FN,02FN01,De Weerklank,Protestants-Christelijk,(V)SO,2,Verdihof,27,2402VA,ALPHEN AAN DEN RIJN,484,ALPHEN AAN DEN RIJN,Zuid-Holland,GGD Hollands-Midden,                                                                                ,105757,462237,pc6hnrgeentoev,,83,17,31.75,32,2.25,0,0
255,41805,19UQ,19UQ00,Mytylschool De Thermiek,Algemeen bijzonder,(V)SO,3,Blauwe Vogelweg,1,2333VK,LEIDEN,546,LEIDEN,Zuid-Holland,GGD Hollands-Midden,www.dethermiek.nl,92351,465105,pc6hnrgeentoev,,290,37,64,63.5,76.75,48.75,0
256,42536,25HE,25HE01,Onderwijsinstelling Sensis,Rooms-Katholiek,(V)SO,1,Heindijk,4,3079PM,ROTTERDAM,599,ROTTERDAM,Zuid-Holland,GGD Rotterdam-Rijnmond,www.sensis.nl,97052,433116,pc6hnrgeentoev,,120,11.75,18.75,28.25,30.25,31,0
257,42573,03HW,03HW00,Tyltylcentrum De Witte Vogel,Algemeen bijzonder,(V)SO,3,Willem Dreespark,307,2531SX,'S-GRAVENHAGE,518,S GRAVENHAGE,Zuid-Holland,GGD Den Haag,www.wittevogel.nl,80901,452647,pc6,,112,18.25,21.25,23.25,16.75,32.5,0
258,42573,15KH,15KH00,De Keerkring,Openbaar,(V)SO,3,Chaplinstrook,2 - 6,2726SK,ZOETERMEER,637,ZOETERMEER,Zuid-Holland,GGD Zuid-Holland-West,www.keerkring.net,93423,454059,pc6hnr,,160,11,30.5,30.5,47.25,40.75,0
259,47595,02XM,02XM00,A J Schreuderschool,Protestants-Christelijk,(V)SO,3,Guido Gezelleweg,24,3076EB,ROTTERDAM,599,ROTTERDAM,Zuid-Holland,GGD Rotterdam-Rijnmond,www.ajschreuder.nl,95292,432186,pc6hnrgeentoev,,181,14.5,31.25,44.25,52,39,0
260,47595,20KH,20KH00,De Regenboog Sch v Chr SO en VSO aan Zmlk,Protestants-Christelijk,(V)SO,3,Kelloggplaats,340,3068XA,ROTTERDAM,599,ROTTERDAM,Zuid-Holland,GGD Rotterdam-Rijnmond,www.regenboogzml.nl,96838,441474,pc6hnrgeentoev,,165,18.25,40.75,28,40,38,0
261,62077,05YX,05YX00,Parkschool voor Zeer Moeilijk Opvoedige Kinderen,Algemeen bijzonder,(V)SO,4,Ds. Meijerlaan,14,2406JD,ALPHEN AAN DEN RIJN,484,ALPHEN AAN DEN RIJN,Zuid-Holland,GGD Hollands-Midden,www.horizon-jeugdzorg.nl,105855,459815,pc6hnrgeentoev,,182,9.25,4.25,34.25,90.25,44,0
262,62077,05YX,05YX01,De hartelborgt,Algemeen bijzonder,(V)SO,4,Borgtweg,1,3202LJ,SPIJKENISSE,612,SPIJKENISSE,Zuid-Holland,GGD Rotterdam-Rijnmond,                                                                                ,79780,430908,pc6hnrgeentoev,,78,0,0,0,4.75,67,6.25
263,62077,05YX,05YX02,Parkschool voor ZMOK,Algemeen bijzonder,(V)SO,4,Nansenstraat,40,2806HM,GOUDA,513,GOUDA,Zuid-Holland,GGD Hollands-Midden,                                                                                ,109538,447301,pc6hnrgeentoev,,81,1.5,12.75,21.5,32.75,12.5,0
264,62077,05YX,05YX03,Parkschool voor ZMOK,Algemeen bijzonder,(V)SO,4,S.M. Hugo van Gijnweg,10,3317JM,DORDRECHT,505,DORDRECHT,Zuid-Holland,GGD Zuid-Holland-Zuid,                                                                                ,105445,423105,pc6hnrgeentoev,,58,0,0,8,30.75,19.25,0
265,62077,05YX,05YX10,Parkschool voor Zeer Moeilijk Opvoedige Kinderen,Algemeen bijzonder,(V)SO,4,Ds. Meijerlaan,14,2406JD,ALPHEN AAN DEN RIJN,484,ALPHEN AAN DEN RIJN,Zuid-Holland,GGD Hollands-Midden,                                                                                ,105855,459815,pc6hnrgeentoev,,22,0,0,0,10.25,11.75,0
266,70176,02GA,02GA00,Koetsveldschool,Protestants-Christelijk,(V)SO,3,Zwaardvegersgaarde,25,2542TC,'S-GRAVENHAGE,518,S GRAVENHAGE,Zuid-Holland,GGD Den Haag,www.koetsveldschool.nl,78441,450706,pc6hnrgeentoev,,206,21.25,36,45.5,51.5,51.75,0
267,71371,17WK,17WK00,St Mattheusschool Voortgezet Speciaal Onderwijs ZMLK,Rooms-Katholiek,(V)SO,3,Larikslaan,190,3053LG,ROTTERDAM,599,ROTTERDAM,Zuid-Holland,GGD Rotterdam-Rijnmond,zmlk.nl,92130,441800,pc6,,198,17.75,35.75,35.25,58,51.25,0
268,85256,01UC,01UC00,Yulius Onderwijs,Algemeen bijzonder,(V)SO,4,Boerhaavelaan,2,2992KZ,BARENDRECHT,489,BARENDRECHT,Zuid-Holland,GGD Rotterdam-Rijnmond,www.yulius.nl,96056,430654,pc6hnrgeentoev,,154,14.25,45.5,86,8.25,0,0
269,85256,01UC,01UC01,RMPI School,Algemeen bijzonder,(V)SO,4,K.P. van der Mandelelaan,20,3062MB,ROTTERDAM,599,ROTTERDAM,Zuid-Holland,GGD Rotterdam-Rijnmond,                                                                                ,96250,437102,pc6hnrgeentoev,,35,0,0,1.25,10.5,23.25,0
270,85256,01UC,01UC03,RMPI School,Algemeen bijzonder,(V)SO,4,Heemraadssingel,145,3022CD,ROTTERDAM,599,ROTTERDAM,Zuid-Holland,GGD Rotterdam-Rijnmond,                                                                                ,90829,437069,pc6hnrgeentoev,,51,11.5,22.75,16,0.75,0,0
271,85256,01UC,01UC05,RMPI School,Algemeen bijzonder,(V)SO,4,Poortmolen,121,2906RN,CAPELLE AAN DEN IJSSEL,502,CAPELLE AAN DEN IJSSEL,Zuid-Holland,GGD Rotterdam-Rijnmond,                                                                                ,98383,439367,pc6hnrgeentoev,,48,0,0,0,7,40.25,0.75
272,85256,01UC,01UC06,RMPI School,Algemeen bijzonder,(V)SO,4,Bessengaard,93,3206AG,SPIJKENISSE,612,SPIJKENISSE,Zuid-Holland,GGD Rotterdam-Rijnmond,                                                                                ,81982,427648,pc6hnrgeentoev,,93,0,0,8.5,54,30.5,0
273,85256,01UC,01UC08,RMPI School,Algemeen bijzonder,(V)SO,4,Atmosfeerstraat,32,3328GD,DORDRECHT,505,DORDRECHT,Zuid-Holland,GGD Zuid-Holland-Zuid,                                                                                ,106099,421397,pc6hnrgeentoev,,74,0,0,10.5,43.25,20.25,0
274,85256,01UC,01UC09,RMPI School,Algemeen bijzonder,(V)SO,4,Groenedijk,49,3311DB,DORDRECHT,505,DORDRECHT,Zuid-Holland,GGD Zuid-Holland-Zuid,                                                                                ,106218,425159,pc6hnrgeentoev,,111,0,0,9.5,58.75,42.75,0
275,85256,01UC,01UC10,RMPI School,Algemeen bijzonder,(V)SO,4,Overkampweg,135,3318AR,DORDRECHT,505,DORDRECHT,Zuid-Holland,GGD Zuid-Holland-Zuid,                                                                                ,106656,422729,pc6hnrgeentoev,,17,1,5.25,3,3.25,4.5,0
276,85256,01UC,01UC12,RMPI School,Algemeen bijzonder,(V)SO,4,Westeind,130,3351AR,PAPENDRECHT,590,PAPENDRECHT,Zuid-Holland,GGD Zuid-Holland-Zuid,                                                                                ,106091,426823,pc6hnrgeentoev,,70,3.5,26.25,38,2.25,0,0
277,85256,01UC,01UC13,RMPI School,Algemeen bijzonder,(V)SO,4,Herman de Ruijterstraat,30,4206ZM,GORINCHEM,512,GORINCHEM,Zuid-Holland,GGD Zuid-Holland-Zuid,                                                                                ,126877,427934,pc6hnrgeentoev,,49,2.5,17,29.5,0,0,0
278,85256,01UC,01UC15,RMPI School,Algemeen bijzonder,(V)SO,4,Burg van Haarenlaan,1155,3118GC,SCHIEDAM,606,SCHIEDAM,Zuid-Holland,GGD Rotterdam-Rijnmond,                                                                                ,85918,437299,pc6hnrgeentoev,,69,0,0,8.25,44,16.75,0
279,85256,01UC,01UC16,RMPI School,Algemeen bijzonder,(V)SO,4,Heer Bokelweg,260,3032AD,ROTTERDAM,599,ROTTERDAM,Zuid-Holland,GGD Rotterdam-Rijnmond,                                                                                ,92453,438000,pc6hnrgeentoev,,110,0,0,15.75,57.5,36.75,0
280,85256,01UC,01UC19,RMPI School,Algemeen bijzonder,(V)SO,4,Merwedekanaal,8-A,4206BC,GORINCHEM,512,GORINCHEM,Zuid-Holland,GGD Zuid-Holland-Zuid,www.rmpi.nl,126656,427721,pc6hnr,,48,0,0,7.25,25.5,15.25,0
281,85256,01UC,01UC21,RMPI School,Algemeen bijzonder,(V)SO,4,Dennenhout,1,2994GC,BARENDRECHT,489,BARENDRECHT,Zuid-Holland,GGD Rotterdam-Rijnmond,                                                                                ,93920,430197,pc6hnrgeentoev,,162,0,0,7,81,74,0
282,85256,01UC,01UC22,RMPI School,Algemeen bijzonder,(V)SO,4,Provincialeweg,70,3329KP,DORDRECHT,505,DORDRECHT,Zuid-Holland,GGD Zuid-Holland-Zuid,                                                                                ,108980,423060,pc6hnrgeentoev,,16,0,0,0,5.75,10.25,0
283,10249,19CO,19CO00,Openbare School voor Speciaal Basisonderwijs De Catamaran,Openbaar,SBAO,0,De Veenkampen,10,7822GP,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.sbo-catamaran.nl,257360,534297,pc6hnrgeentoev,,163,15.25,57.25,90.5,0,0,0
284,11711,19QJ,19QJ00,School voor Speciaal Basisonderwijs t Hoge Holt,Openbaar,SBAO,0,Lijsterbesstraat,1,9301MK,RODEN,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.thogeholt.nl,224707,573368,pc6hnrgeentoev,,142,15.75,49.5,76,0.75,0,0
285,13785,20BX,20BX00,School voor Speciaal Basisonderwijs De Meander,Openbaar,SBAO,0,Wethouder Bergerweg,2-d,9406XP,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,                                                                                ,232959,558671,pc6hnr,,213,36.75,87.5,88,0.75,0,0
286,32073,23NV,23NV00,PC School voor Speciaal Basisonderwijs De Boei,Protestants-Christelijk,SBAO,0,Wethouder Bergerweg,2-a,9406XP,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.ssbodeboei.nl,232915,558609,pc6hnrtoev,,107,3,38.5,64,1.5,0,0
287,40999,01BO,01BO00,School voor Speciaal Basisonderwijs Toermalijn,Rooms-Katholiek,SBAO,0,Sparrenlaan,4 -5,7822EM,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.toermalijn-sbo.nl,257433,535264,pc6,,136,11.5,54.5,65.5,4.5,0,0
288,41629,19QE,19QE00,School voor Speciaal Basisonderwijs Reestoever,Openbaar,SBAO,0,Jacob Marisstraat,1,7944EM,MEPPEL,119,MEPPEL,Drenthe,GGD Drenthe,www.reestoeverschool.nl,209153,522732,pc6hnrgeentoev,,162,13,56.5,88,4.5,0,0
289,42557,00JH,00JH00,School voor Speciaal Basisonderwijs De Kameleon,Algemeen bijzonder,SBAO,0,Reviusweg,1,7901JN,HOOGEVEEN,118,HOOGEVEEN,Drenthe,GGD Drenthe,www.sbodekameleon.nl,228539,526551,pc6hnrgeentoev,,88,11,30.75,45.5,0.75,0,0
290,42599,07MI,07MI00,School voor Speciaal Basisonderwijs De Carrousel,Protestants-Christelijk,SBAO,0,De Wielewaal,1,7905GX,HOOGEVEEN,118,HOOGEVEEN,Drenthe,GGD Drenthe,www.sbodecarrousel.nl,230115,526141,pc6hnrgeentoev,,172,28.25,63.5,79.5,0.75,0,0
291,40114,24FT,24FT00,School voor Speciaal Basisonderwijs De Klimop,Algemeen bijzonder,SBAO,0,Rossinistraat,5,1323BP,ALMERE,34,ALMERE,Flevoland,GGD Flevoland,www.de-klimop.nl,142168,486425,pc6hnrgeentoev,,267,43.5,94.5,129,0,0,0
292,41676,15SJ,15SJ00,School Speciaal Basisonderwijs De Watertuin I,Openbaar,SBAO,0,Churchillweg,3,1314RA,ALMERE,34,ALMERE,Flevoland,GGD Flevoland,                                                                                ,143751,488046,pc6hnrgeentoev,,291,21.75,111.25,155.75,2.25,0,0
293,41676,17FI,17FI00,School voor Speciaal Basisonderwijs De Bombardon,Openbaar,SBAO,0,Simon van Collemstraat,7,1325NA,ALMERE,34,ALMERE,Flevoland,GGD Flevoland,www.bombardon.edu.almere.nl,145179,486498,pc6hnrgeentoev,,216,23.75,78.75,113.5,0,0,0
294,42552,14AK,14AK00,School voor Speciaal Basisonderwijs De Watergeus,Openbaar,SBAO,0,Schouw,1901,8232HM,LELYSTAD,995,LELYSTAD,Flevoland,GGD Flevoland,                                                                                ,160478,502573,pc6,,177,30.75,57.25,88.25,0.75,0,0
295,52274,16TH,16TH00,School voor Speciaal Basisonderwijs De Klimboom,Protestants-Christelijk,SBAO,0,Vogelsant,6,8303ZR,EMMELOORD,171,NOORDOOSTPOLDER,Flevoland,GGD Flevoland,                                                                                ,178441,524511,pc6hnrgeentoev,,153,23.5,60.75,68,0.75,0,0
296,60985,14CG,14CG00,Chr School voor Speciaal Basisonderwijs De Vogelveste,Protestants-Christelijk,SBAO,0,de Veste,1840,8231JV,LELYSTAD,995,LELYSTAD,Flevoland,GGD Flevoland,www.vogelveste.nl,161012,503203,pc6,,90,0.25,30,58.25,1.5,0,0
297,61778,01AC,01AC00,School voor Speciaal Basisonderwijs De Driemaster,Algemeen bijzonder,SBAO,0,Werfstraat,10,8251GP,DRONTEN,303,DRONTEN,Flevoland,GGD Flevoland,                                                                                ,177759,504254,pc6hnrgeentoev,,101,14.75,32.75,48.25,5.25,0,0
298,40342,14WQ,14WQ00,Chr School voor Speciaal Basisonderwijs Sjalom,Protestants-Christelijk,SBAO,0,John F Kennedylaan,6,9203JV,DRACHTEN,90,SMALLINGERLAND,Friesland,GGD Frysl‰n,www.sbosjaloml.nl,202967,568097,pc6hnrgeentoev,,226,31.5,89.25,103,2.25,0,0
299,40633,01CE,01CE00,School voor Speciaal Basisonderwijs De Twine,Protestants-Christelijk,SBAO,0,Hantumerweg,28,9101AB,DOKKUM,58,DONGERADEEL,Friesland,GGD Frysl‰n,www.detwine.nl,195704,593980,pc6hnrgeentoev,,249,36.75,101.25,111,0,0,0
300,40636,02BJ,02BJ00,Christelijke School voor Speciaal Basisonderwijs Aquamarijn,Protestants-Christelijk,SBAO,0,Brandemeer,35,8918CT,LEEUWARDEN,80,LEEUWARDEN,Friesland,GGD Frysl‰n,www.sbo-aquamarijn.nl,182816,581037,pc6hnrgeentoev,,251,34,95.75,119.75,1.5,0,0
301,41361,12DV,12DV00,School voor Speciaal Basisonderwijs De Bolder,Openbaar,SBAO,0,IJsbaanweg,2,8801ER,FRANEKER,70,FRANEKERADEEL,Friesland,GGD Frysl‰n,                                                                                ,165146,578495,pc6hnrgeentoev,,195,16.5,71.75,105.25,1.5,0,0
302,41573,19QV,19QV00,School voor Speciaal Basisonderwijs It Oerset,Openbaar,SBAO,0,Van Helomalaan,2,8441BX,HEERENVEEN,74,HEERENVEEN,Friesland,GGD Frysl‰n,www.it-oerset.nl,190457,553341,pc6hnrgeentoev,,88,11.25,22,54,0.75,0,0
