objectid,bevoegd_gezag_nummer,brinnummer,vestigingsnummer,vestigingsnaam,denominatie,soort_primair_onderwijs,cluster,straatnaam,huisnummer_toevoeging,pc6,plaatsnaam,gem_code,gemeentenaam,provincie,ggd,internetadres,xcoord,ycoord,geocod,opmerking_geocode,leerlingen,lftd_1tm6,lftd_7tm9,lftd_10tm12,lftd_13tm15,lftd_16tm20,lftd_21tm27
22,41546,08ST,08ST00,Christelijke Piet Bakkerschool,Protestants-Christelijk,(V)SO,3,Plevierenpad,3,8601XC,SNEEK,1900,SUDWEST-FRYSLAN,Friesland,GGD Frysl‰n,www.pietbakkerschool.nl,172339,560517,pc6hnrgeentoev,,102,3.25,8.25,22,36.5,32,0
23,41573,19TX,19TX00,Meester Duisterhoutschool,Openbaar,(V)SO,3,Gooilandlaan,85,8443BH,HEERENVEEN,74,HEERENVEEN,Friesland,GGD Frysl‰n,www.duisterhout.nl,192033,550670,pc6hnrgeentoev,,81,4.75,12.25,21.25,19.5,23.25,0
24,41573,19TX,19TX01,Meester Duisterhoutschool,Openbaar,(V)SO,3,Boekhorsterweg,15,8431CW,OOSTERWOLDE FR,85,OOSTSTELLINGWERF,Friesland,GGD Frysl‰n,www.duisterhout.nl,215726,555621,pc6hnrgeentoev,,37,1.25,4.25,5,13,13.5,0
25,42546,26MC,26MC00,S(V)O Conventschool,Openbaar,(V)SO,3,Oude Dijk,15,8602XW,SNEEK,1900,SUDWEST-FRYSLAN,Friesland,GGD Frysl‰n,www.conventschool.nl,172721,561141,pc6hnrgeentoev,,92,4.5,12,21,26,28.5,0
26,30117,26NC,26NC01,School voor Speciaal Basisonderwijs Obadja,Reformatorisch,(V)SO,4,Anklaarseweg,71,7316MB,APELDOORN,200,APELDOORN,Gelderland,GGD Noord- en Oost-Gelderland,                                                                                ,194493,472106,pc6hnrgeentoev,,92,0,0,21.5,51.75,18.75,0
27,30605,02GM,02GM00,Daniel De Brouwerschool,Rooms-Katholiek,(V)SO,3,Lathmerweg,4,7384AN,WILP GLD,285,VOORST,Gelderland,GGD Noord- en Oost-Gelderland,www.danieldebrouwerschool.nl,206002,469818,pc6hnrgeentoev,,212,15.5,24.75,46.75,59,66,0
28,40631,00SO,00SO00,Hamalandschool,Algemeen bijzonder,(V)SO,3,van Ostadestraat,17,7131VB,LICHTENVOORDE,1586,OOST GELRE,Gelderland,GGD Noord- en Oost-Gelderland,www.hamalandschool.nl,236294,445313,pc6hnrgeentoev,,165,5.75,23.75,29.5,49.5,56.5,0
29,40631,04AN,04AN00,St Christoffelschool voor zmlk,Algemeen bijzonder,(V)SO,3,Polstraat,33,6942VK,DIDAM,1955,MONTFERLAND,Gelderland,GGD Noord- en Oost-Gelderland,www.christoffelschool-didam.nl,206153,439853,pc6hnrgeentoev,,245,15.75,45.25,52.25,61,70.75,0
30,40631,05MF,05MF00,Het Aladon,Protestants-Christelijk,(V)SO,3,Magnoliaplein,11,7121AM,AALTEN,197,AALTEN,Gelderland,GGD Noord- en Oost-Gelderland,www.aladon.nl,237222,438763,pc6hnrgeentoev,,52,3.5,9.5,16.5,13,9.5,0
31,40631,16QF,16QF00,De Toekomst SO/VSO ZMLK,Protestants-Christelijk,(V)SO,3,Asakkerweg,5,6718ZE,EDE GLD,228,EDE,Gelderland,Hulpverlening Gelderland-Midden,                                                                                ,174568,451673,pc6hnrgeentoev,,103,0,0,7,51,45,0
32,40631,19TG,19TG00,Anne Flokstra School,Openbaar,(V)SO,3,Emmalaan,2,7204AS,ZUTPHEN,301,ZUTPHEN,Gelderland,GGD Noord- en Oost-Gelderland,www.anneflokstraschool.nl,211052,461889,pc6hnrgeentoev,,77,3.25,10.75,20.25,22.25,20.5,0
33,41208,16OJ,16OJ01,Dr. D. Q. R. Mulock Houwerschool,Openbaar,(V)SO,4,Dokter van Dalelaan,66-a,3851JD,ERMELO,233,ERMELO,Gelderland,GGD Noord- en Oost-Gelderland,                                                                                ,170718,479469,pc6hnr,,136,0,0,25.25,64.75,45,1
34,41210,01JH,01JH00,Sgm. so/vso De Brouwerij,Protestants-Christelijk,(V)SO,4,Vluchtheuvellaan,4,6671DN,ZETTEN,1734,OVERBETUWE,Gelderland,Hulpverlening Gelderland-Midden,                                                                                ,177671,438318,pc6hnrgeentoev,,31,0,0,0.25,13.75,17,0
35,41210,01JH,01JH01,De Brouwerij,Protestants-Christelijk,(V)SO,4,Reinier Postlaan,12,6525GC,NIJMEGEN,268,NIJMEGEN,Gelderland,GGD Regio Nijmegen,                                                                                ,188001,425913,pc6hnrgeentoev,,10,0.5,5.25,4.25,0,0,0
36,41210,01JH,01JH02,De Brouwerij,Protestants-Christelijk,(V)SO,4,Horalaan,3-A,6717LX,EDE GLD,228,EDE,Gelderland,Hulpverlening Gelderland-Midden,                                                                                ,175474,448012,pc6hnr,,58,6,14.25,11.75,12.25,13.75,0
37,41210,01JH,01JH03,De Brouwerij,Protestants-Christelijk,(V)SO,4,Horalaan,3,6717LX,EDE GLD,228,EDE,Gelderland,Hulpverlening Gelderland-Midden,                                                                                ,175474,448012,pc6hnrgeentoev,,3,0,0,0,1.25,1.75,0
38,41210,01JH,01JH04,Sgm. so/vso De Brouwerij,Protestants-Christelijk,(V)SO,4,Vluchtheuvellaan,4,6671DN,ZETTEN,1734,OVERBETUWE,Gelderland,Hulpverlening Gelderland-Midden,                                                                                ,177671,438318,pc6hnrgeentoev,,139,0,0,4,58,77,0
39,41210,01JH,01JH05,Sgm. so/vso De Brouwerij,Protestants-Christelijk,(V)SO,4,Stationsweg,49,6861EE,OOSTERBEEK,274,RENKUM,Gelderland,Hulpverlening Gelderland-Midden,                                                                                ,186243,445026,pc6hnrgeentoev,,123,1.75,9,26.5,34.75,49,2
40,41450,14RB,14RB00,Jan Hein Donnerschool,Protestants-Christelijk,(V)SO,4,Rudolphlaan,5,3794MZ,DE GLIND,203,BARNEVELD,Gelderland,Hulpverlening Gelderland-Midden,www.donnerschool.nl,163210,459185,pc6,,168,1.25,30.75,57.5,58.75,19.75,0
41,41531,00TO,00TO00,Talita Koemi School,Rooms-Katholiek,(V)SO,3,Burgemeester Daleslaan,1,6532CL,NIJMEGEN,268,NIJMEGEN,Gelderland,GGD Regio Nijmegen,www.talita-koemi.nl,186209,425431,pc6hnrgeentoev,,149,15.75,19.75,43,32.5,38,0
42,41531,02RO,02RO00,De Kom School voor Speciaal Onderwijs Voortgezet Speciaal Onderwijs en ZMLK,Rooms-Katholiek,(V)SO,3,Veerstraat,14,6651AX,DRUTEN,225,DRUTEN,Gelderland,GGD Regio Nijmegen,www.de-kom.nl,170184,433923,pc6hnrgeentoev,,227,13.25,44,43.25,55,71.5,0
43,41531,07IC,07IC00,Cambier van Nootenschool,Algemeen bijzonder,(V)SO,3,Burg Schullstraat,2,4001VV,TIEL,281,TIEL,Gelderland,GGD Rivierenland,www.cambiervannootenschool.nl,157445,432764,pc6hnrgeentoev,,152,13,26,35.75,35.25,42,0
44,41616,20OJ,20OJ00,Van Voorthuysenschool,Openbaar,(V)SO,3,Heuvellaan,1,7314BN,APELDOORN,200,APELDOORN,Gelderland,GGD Noord- en Oost-Gelderland,                                                                                ,193567,470585,pc6hnrgeentoev,,67,1.5,12.75,20.25,17.5,15,0
